"Country Name","Country Code","Indicator Name","Indicator Code","2017",
"Afghanistan","AFG","Expected Years of School","HD.HCI.EYRS","8.58",
"Afghanistan","AFG","Expected Years of School, Female","HD.HCI.EYRS.FE","6.73",
"Afghanistan","AFG","Expected Years of School, Male","HD.HCI.EYRS.MA","9.21",
"Afghanistan","AFG","Fraction of Children Under 5 Not Stunted","HD.HCI.STNT","0.591",
"Afghanistan","AFG","Fraction of Children Under 5 Not Stunted, Female","HD.HCI.STNT.FE","",
"Afghanistan","AFG","Fraction of Children Under 5 Not Stunted, Male","HD.HCI.STNT.MA","",
"Afghanistan","AFG","Harmonized Test Scores","HD.HCI.HLOS","355",
"Afghanistan","AFG","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","350",
"Afghanistan","AFG","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","358",
"Afghanistan","AFG","Human Capital Index (HCI) (scale 0-1)","HD.HCI.OVRL","0.389",
"Afghanistan","AFG","Human Capital Index (HCI), Female (scale 0-1)","HD.HCI.OVRL.FE","0.363",
"Afghanistan","AFG","Human Capital Index (HCI), Female, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.FE","0.35",
"Afghanistan","AFG","Human Capital Index (HCI), Female, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.FE","0.375",
"Afghanistan","AFG","Human Capital Index (HCI), Lower Bound (scale 0-1)","HD.HCI.OVRL.LB","0.376",
"Afghanistan","AFG","Human Capital Index (HCI), Male (scale 0-1)","HD.HCI.OVRL.MA","0.395",
"Afghanistan","AFG","Human Capital Index (HCI), Male, Lower Bound (scale 0-1)","HD.HCI.OVRL.LB.MA","0.378",
"Afghanistan","AFG","Human Capital Index (HCI), Male, Upper Bound (scale 0-1)","HD.HCI.OVRL.UB.MA","0.412",
"Afghanistan","AFG","Human Capital Index (HCI), Upper Bound (scale 0-1)","HD.HCI.OVRL.UB","0.403",
"Afghanistan","AFG","Learning-Adjusted Years of School","HD.HCI.LAYS","4.87",
"Afghanistan","AFG","Learning-Adjusted Years of School, Female","HD.HCI.LAYS.FE","3.77",
"Afghanistan","AFG","Learning-Adjusted Years of School, Male","HD.HCI.LAYS.MA","5.27",
"Afghanistan","AFG","Probability of Survival to Age 5","HD.HCI.MORT","0.9321",
"Afghanistan","AFG","Probability of Survival to Age 5, Female","HD.HCI.MORT.FE","0.9363",
"Afghanistan","AFG","Probability of Survival to Age 5, Male","HD.HCI.MORT.MA","0.9282",
